,Playlistid,Trackid,Artist_Name,Track_Name,Album_Name,Track_Duration,Artist_uri,Track_uri,Album_uri,acousticness,artist_genres,artist_popularity,danceability,energy,explicit,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,537,0,Iration,Time Bomb,Time Bomb,190693,spotify:artist:0q9lPhJHW5R9J7RXIJRbTk,spotify:track:6M7R9BK3Etvt0UNhbHoQlR,spotify:album:6l8dq5OcwsCccuhZzXhNj5,0.192,['reggae rock'],62.0,0.754,0.59,False,0.0,4.0,0.11,-6.525,0.0,0.046,147.107,4.0,0.784
1,537,1,Common Kings,No Other Love (feat. J-Boog & Fiji),No Other Love (feat. J-Boog & Fiji),193386,spotify:artist:4j0qbafzqnGf4ARF8tY4VL,spotify:track:4R7WhRhVMCWqXDBSjiDyMU,spotify:album:05NQP9J55gkl9V9tlCW93q,0.27399999999999997,['polynesian pop'],56.0,0.601,0.753,False,0.0,8.0,0.10400000000000001,-5.862,1.0,0.212,179.91299999999998,4.0,0.591
2,537,2,Common Kings,IDGAF,Summer Anthems,166613,spotify:artist:4j0qbafzqnGf4ARF8tY4VL,spotify:track:7JWhY8NNacYumQkkxmrL0B,spotify:album:5sFwkNJZg9vxc9YhiGtxZk,0.0828,['polynesian pop'],56.0,0.659,0.509,True,0.0,11.0,0.0883,-9.972999999999999,1.0,0.302,170.018,4.0,0.8140000000000001
3,537,3,Common Kings,Just Another Lover,Summer Anthems,224769,spotify:artist:4j0qbafzqnGf4ARF8tY4VL,spotify:track:32zosyJfJHWIHKDUPDkfPy,spotify:album:5ZlsrIE43cMcKGEuRf8maO,0.064,['polynesian pop'],56.0,0.544,0.836,False,0.0,1.0,0.0575,-3.283,0.0,0.152,82.12100000000001,4.0,0.871
4,537,4,Common Kings,Sickness,Summer Anthems,211746,spotify:artist:4j0qbafzqnGf4ARF8tY4VL,spotify:track:2SUSpC1KJad5v51mSmw1QS,spotify:album:5sFwkNJZg9vxc9YhiGtxZk,0.507,['polynesian pop'],56.0,0.715,0.631,False,0.0,0.0,0.091,-9.383,1.0,0.0462,89.929,4.0,0.782
5,537,5,J Boog,Let's Do It Again,J Boog - EP,192893,spotify:artist:7oEWmZ9dKlAVxTgmjUbYr4,spotify:track:6LfJVV4oNiz7KeDrZUf8ty,spotify:album:1mBSbSCwjpqInxijkFk06d,0.491,"['polynesian pop', 'reggae fusion']",57.0,0.607,0.67,False,0.0,0.0,0.0747,-5.517,0.0,0.244,80.89699999999999,4.0,0.9079999999999999
6,537,6,Iration,Falling,Time Bomb,240760,spotify:artist:0q9lPhJHW5R9J7RXIJRbTk,spotify:track:0IgUWRQZie6GS7jtLPKlTU,spotify:album:6l8dq5OcwsCccuhZzXhNj5,0.00765,['reggae rock'],62.0,0.799,0.41600000000000004,False,2.07e-06,7.0,0.122,-9.547,1.0,0.0428,125.01,4.0,0.818
7,537,7,"Nas & Damian ""Jr. Gong"" Marley",Friends,Distant Relatives,289133,spotify:artist:3w2WYNyPCPkZFoC1EqfCMe,spotify:track:5MgiILGEPaixtfX1UTITPP,spotify:album:2Pd8vlnULF9gwrJqbLEvtH,0.168,[],43.0,0.5529999999999999,0.701,True,0.0,5.0,0.107,-4.967,0.0,0.262,149.15200000000002,4.0,0.514
8,537,8,Damian Marley,Keep On Groving,Mr. Marley,274800,spotify:artist:3QJzdZJYIAcoET1GcfpNGi,spotify:track:1Ukc7TqkthSNbeqSZB26QB,spotify:album:53OvQ2dHF8oZh5L23oODgP,0.16399999999999998,"['reggae', 'reggae fusion']",67.0,0.807,0.5920000000000001,False,0.0,11.0,0.0527,-8.797,0.0,0.121,95.228,4.0,0.7909999999999999
9,537,9,Bob Marley & The Wailers,Is This Love,Kaya,232200,spotify:artist:2QsynagSdAqZj3U9HgDzjD,spotify:track:6M5cQCyieE1Q8YQydVLzxL,spotify:album:2sjqgdbvLYmvpC3CL8kkyK,0.106,"['reggae', 'roots reggae']",79.0,0.775,0.5529999999999999,False,0.0,6.0,0.0518,-8.371,0.0,0.102,122.23200000000001,4.0,0.753
